asv_id	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13
ASV_130	81	63	0	100	72	94	0	79	54	39	46	67	34
ASV_134	145	0	167	237	166	56	78	179	37	3	67	104	98
ASV_135	20	0	8	8	0	0	0	0	0	0	0	0	0
ASV_136	0	6	7	17	0	6	7	0	0	0	0	0	0
ASV_137	123	84	99	159	100	97	103	46	18	0	32	34	17
ASV_138	45	33	33	83	65	68	93	0	0	0	15	25	28
ASV_139	100	46	57	133	106	54	139	0	19	0	47	40	12
ASV_140	0	18	0	0	0	13	0	71	38	35	21	81	14
ASV_141	131	132	379	280	178	42	98	44	92	0	83	166	72
ASV_142	34	0	12	60	13	0	0	0	9	0	20	45	31
ASV_144	0	31	0	0	0	0	0	49	67	233	54	0	100
ASV_145	30	0	105	53	60	15	46	0	0	0	20	0	0
ASV_146	14	9	0	0	24	0	12	0	51	0	21	14	17
ASV_148	85	0	0	49	150	76	179	47	29	0	78	0	43
ASV_149	89	17	72	35	32	25	23	0	0	0	0	0	0
ASV_150	0	43	64	72	0	47	48	0	0	0	92	55	0
ASV_151	0	26	45	0	16	42	11	0	18	0	0	28	0
ASV_152	829	624	855	967	782	825	865	70	364	30	312	784	426
ASV_153	233	286	324	223	336	308	219	62	98	39	197	152	214
ASV_154	33	11	28	31	0	0	0	0	14	0	17	0	0
ASV_158	58	0	0	81	0	0	0	0	0	0	0	61	48
ASV_163	40	20	73	10	23	19	0	0	0	0	0	0	0
ASV_164	20	0	0	14	0	0	0	10	0	0	4	8	0
ASV_165	83	0	61	60	55	0	49	0	0	0	0	0	0
ASV_166	24	0	26	57	34	0	0	0	0	0	0	0	0
ASV_168	6	0	0	0	0	0	17	11	0	0	0	0	0
ASV_169	43	110	84	79	43	48	59	0	0	0	0	0	0
ASV_171	85	18	84	43	42	68	40	0	0	0	49	56	20
ASV_172	81	0	118	0	64	42	87	0	5	0	12	41	32
ASV_173	88	38	58	48	46	74	81	0	0	0	43	26	0
ASV_176	12	0	0	0	16	3	6	0	2	0	0	0	0
ASV_177	0	0	0	0	0	2	0	0	0	0	2	2	0
ASV_178	11	9	27	33	14	12	30	0	0	0	0	13	9
ASV_179	31	0	2	0	9	0	0	0	0	0	0	6	0
ASV_181	38	26	68	37	42	50	0	5	2	0	43	45	16
ASV_182	2	0	14	0	9	0	0	0	0	0	0	0	7
ASV_183	0	2	0	0	0	0	0	0	32	0	7	14	14
ASV_185	14	0	2	2	0	0	2	0	0	0	0	0	0
ASV_187	13	0	0	0	7	5	0	0	0	0	0	0	0
ASV_189	20	17	31	26	23	38	18	49	13	0	45	48	18
ASV_192	26	21	20	0	0	0	0	0	0	0	0	0	0
ASV_195	14	0	0	0	9	0	0	0	0	0	0	44	0
ASV_196	3	0	0	0	0	0	0	0	2	0	9	0	0
ASV_197	0	0	0	46	0	0	7	0	0	0	0	6	0
ASV_201	1	4	0	2	0	0	0	0	0	0	0	6	0
ASV_202	48	58	56	0	35	55	0	0	0	0	0	0	0
ASV_204	2	0	0	2	2	2	0	0	0	0	0	0	0
ASV_207	0	0	0	0	0	0	0	0	117	0	77	13	0
ASV_210	0	0	0	5	0	7	0	0	0	0	3	0	0
ASV_211	0	0	0	3	0	0	2	0	0	0	0	3	0
ASV_221	35	18	24	0	0	0	0	0	0	0	0	0	0
ASV_223	83	43	54	102	55	71	34	47	0	0	0	0	0
ASV_264	0	0	5	9	12	0	0	0	0	0	0	0	0
ASV_273	4	0	0	0	9	0	0	0	0	0	14	0	0
